2024-07-03 19:21:01.870630|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2024-07-03 19:21:01.872632|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (19045) x64 (AMD or Intel) Binary: 64bit
2024-07-03 19:21:01.872632|INFO    |ServerLibPriv |   |Using hardware aes
2024-07-03 19:21:01.908630|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2024-07-03 19:21:01.908630|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2024-07-03 19:21:01.910631|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2024-07-03 19:21:01.989628|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2024-07-03 19:21:02.004629|INFO    |Accounting    |   |Licensing Information
2024-07-03 19:21:02.004629|INFO    |Accounting    |   |licensed to       : Anonymous
2024-07-03 19:21:02.004629|INFO    |Accounting    |   |type              : No License
2024-07-03 19:21:02.004629|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2024-07-03 19:21:02.004629|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2024-07-03 19:21:02.004629|INFO    |Accounting    |   |max virtualservers: 1
2024-07-03 19:21:02.004629|INFO    |Accounting    |   |max slots         : 32
2024-07-03 19:21:03.885631|INFO    |              |   |Puzzle precompute time: 1736
2024-07-03 19:21:04.008629|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2024-07-03 19:21:04.150630|INFO    |Query         |   |Using a query thread pool size of 2
2024-07-03 19:21:04.687689|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2024-07-03 19:21:04.696688|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2024-07-03 19:21:04.697687|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2024-07-03 19:21:04.707688|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
